sku,match_name,youtube_id,timestamp_seconds,division_id
RE-V5RC-25-0010,Q57,bXGM9dOsLGc,2533,1
RE-V5RC-25-0010,Q58,bXGM9dOsLGc,2757,1
RE-V5RC-25-0010,Q59,bXGM9dOsLGc,2939,1
RE-V5RC-25-0010,Q60,bXGM9dOsLGc,3120,1
RE-V5RC-25-0010,Q61,bXGM9dOsLGc,3304,1
RE-V5RC-25-0010,Q63,bXGM9dOsLGc,3740,1
RE-V5RC-25-0010,Q64,bXGM9dOsLGc,4253,1
RE-V5RC-25-0010,Q66,bXGM9dOsLGc,4704,1
RE-V5RC-25-0010,Q67,bXGM9dOsLGc,4892,1
RE-V5RC-25-0010,Q68,bXGM9dOsLGc,5173,1
RE-V5RC-25-0010,Q69,bXGM9dOsLGc,5418,1
RE-V5RC-25-0010,Q70,bXGM9dOsLGc,5669,1
RE-V5RC-25-0010,QF2-1,bXGM9dOsLGc,14483,1
RE-V5RC-25-0010,QF3-1,bXGM9dOsLGc,14723,1
RE-V5RC-25-0010,QF4-1,bXGM9dOsLGc,14918,1
RE-V5RC-25-0010,SF2-1,bXGM9dOsLGc,15887,1
RE-V5RC-25-0010,R162-1,bXGM9dOsLGc,12826,1
RE-V5RC-25-0010,R164-1,bXGM9dOsLGc,13118,1
RE-V5RC-25-0010,R166-1,bXGM9dOsLGc,13706,1
RE-V5RC-25-0010,R168-1,bXGM9dOsLGc,13980,1
